Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
PRVDR_PRSCRBNG_PRVDR_NPI_NUM  ,char(10),CHAR(10),string,String,char(10),
NDC_HIC3_CD,char(3),CHAR(3),string,String,char(3),
NDC_HIC3_CD_DESC,varchar(100),VARCHAR(100),string,String,varchar(100),
NDC_CNT,integer,INTEGER,int32,float,int8,
DSTNCT_NDC_CNT,integer,INTEGER,int32,float,int8,
BENE_CNT,integer,INTEGER,int32,float,int8,
CVRD_PD_AMT_SUM,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",
PD_AMT_PER_NDC_CNT_AVG,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",
OPI_LOAD_TS,timestamp(6),TIMESTAMP(6),"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,
