Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
BENE_DOD_PROOF_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_BIC_CD_DESC,varchar(200) character set latin not casespecific,VARCHAR(200) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(200),String
BENE_PSC_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_RACE_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_SEX_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_MDCR_STUS_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_DUAL_FPL_CD_DESC,varchar(500) character set latin not casespecific format 'x(100)',VARCHAR(500) CHARACTER SET LATIN NOT CASESPECIFIC FORMAT 'X(100)',string,String,varchar(500),String
BENE_DUAL_FPL_SRC_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_DUAL_STUS_CD_DESC,varchar(400) character set latin not casespecific,VARCHAR(400) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(400),String
BENE_DEEMD_COPMT_LVL_CD_DESC,varchar(500) character set latin not casespecific format 'x(100)',VARCHAR(500) CHARACTER SET LATIN NOT CASESPECIFIC FORMAT 'X(100)',string,String,varchar(500),String
BENE_DEEMD_COPMT_RSN_CD_DESC,varchar(200) character set latin not casespecific,VARCHAR(200) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(200),String
BENE_LIS_APL_RSLT_CD_DESC,varchar(500) character set latin not casespecific format 'x(100)',VARCHAR(500) CHARACTER SET LATIN NOT CASESPECIFIC FORMAT 'X(100)',string,String,varchar(500),String
BENE_LIS_APRVL_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_LIS_CNCL_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_LIS_CHG_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_LIS_COPMT_LVL_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_LIS_INCM_DTRMNTN_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_LIS_IND_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_LIS_RSRC_LVL_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_NENRLMT_PTAB_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_PTC_CVRG_TYPE_CD_LONG_DS,varchar(500) character set latin not casespecific,VARCHAR(500) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(500),String
BENE_PTC_DISENRLMT_RSN_CD_DESC,varchar(500) character set latin not casespecific format 'x(100)',VARCHAR(500) CHARACTER SET LATIN NOT CASESPECIFIC FORMAT 'X(100)',string,String,varchar(500),String
BENE_PTC_ENRLMT_PGM_TYPE_CD_DS,varchar(40) character set latin not casespecific,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(40),String
BENE_PTD_CVRG_TYPE_CD_LONG_DS,varchar(500) character set latin not casespecific,VARCHAR(500) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(500),String
BENE_PTD_DISENRLMT_RSN_CD_DESC,varchar(500) character set latin not casespecific format 'x(100)',VARCHAR(500) CHARACTER SET LATIN NOT CASESPECIFIC FORMAT 'X(100)',string,String,varchar(500),String
BENE_PTD_ENRLMT_PGM_TYPE_CD_DS,varchar(40) character set latin not casespecific,VARCHAR(40) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(40),String
BENE_RTRMT_RX_BNFT_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_SSI_IND_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
BENE_FFS_IND,char(1),CHAR(1),string,String,char(1),String
SSA_DMF_DRVD_DEATH_DT,date format 'yyyy-mm-dd' default date '1000-01-01',CHAR(10),string,Date,date,String
SSA_DMF_VRFCTN_OR_PROOF_IND,char(1) character set latin not casespecific default '~',CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT '~',string,String,char(1),String
SSA_DMF_OPI_MTCH_RATE_IND,char(1) character set latin not casespecific default '~',CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT '~',string,String,char(1),String
OPI_LOAD_TS,timestamp(6) not null,TIMESTAMP(6) NOT NULL,"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,String
