Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
BENE_PSC_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_REC_CMPLTNS_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_PTA_NENTLMT_RSN_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_PTB_NENTLMT_RSN_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_SSN_VRFY_SW,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
CNTCT_LANG_CD,"char(3) character set latin not casespecific compress ('   ','s  ','x  ')","CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('   ','S  ','X  ')",string,String,char(3),String
BENE_MBI_ID,char(11) character set latin not casespecific,CHAR(11) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(11),String
BENE_PTD_CVRG_TYPE_CD,char(2) character set latin not casespecific not null,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(2),String
BENE_PTD_CNTRCT_NUM,char(5) character set latin not casespecific not null default '~    ' compress '~    ',CHAR(5) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~    ' COMPRESS '~    ',string,String,char(5),String
BENE_PTD_PBP_NUM,char(3) character set latin not casespecific not null default '~  ' compress '~  ',CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~  ' COMPRESS '~  ',string,String,char(3),String
BENE_PTD_PBP_SGMT_NUM,char(3) character set latin not casespecific compress,CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(3),String
BENE_PTD_ENRLMT_STRT_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_PTD_ENRLMT_END_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
BENE_PTD_DISENRLMT_RSN_CD,char(2) character set latin not casespecific not null,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(2),String
BENE_PTD_ELCTN_CCP_ENRLMT_MOS,smallint not null,SMALLINT NOT NULL,int32,float,int8,Int
BENE_PTD_ENRLMT_APLCTN_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_PTD_ENRLMT_CNTRCT_EFTV_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_PTD_ENRLMT_GP_HLTH_PLN_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTD_ENRLMT_PGM_TYPE_CD,char(4) character set latin not casespecific not null,CHAR(4) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(4),String
BENE_PTD_ENRLMT_TYPE_CD,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTD_PMT_SW,char(1),CHAR(1),string,String,char(1),String
BENE_PTD_OUT_SRVC_AREA_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTD_PRIOR_DISENRLT_RSN_CD,char(2) character set latin not casespecific not null default '~ ',CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~ ',string,String,char(2),String
BENE_PTD_SBSDY_OVRRD_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTD_PRM_WTHLD_OPTN_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_PTC_CVRG_TYPE_CD,char(2) character set latin not casespecific not null,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(2),String
BENE_PTC_CNTRCT_NUM,char(5) character set latin not casespecific not null default '~    ' compress '~    ',CHAR(5) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~    ' COMPRESS '~    ',string,String,char(5),String
BENE_PTC_PBP_NUM,char(3) character set latin not casespecific not null default '~  ' compress '~  ',CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~  ' COMPRESS '~  ',string,String,char(3),String
BENE_PTC_PBP_SGMT_NUM,char(3) character set latin not casespecific compress,CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(3),String
BENE_PTC_ENRLMT_STRT_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_PTC_ENRLMT_END_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
BENE_PTC_DISENRLMT_RSN_CD,char(2) character set latin not casespecific not null,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(2),String
BENE_PTC_ELCTN_CCP_ENRLMT_MOS,smallint not null,SMALLINT NOT NULL,int32,float,int8,Int
BENE_PTC_ENRLMT_APLCTN_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_PTC_ENRLMT_CNTRCT_EFTV_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_PTC_ENRLMT_GP_HLTH_PLN_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTC_ENRLMT_PGM_TYPE_CD,char(4) character set latin not casespecific not null,CHAR(4) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(4),String
BENE_PTC_ENRLMT_TYPE_CD,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTC_PMT_SW,char(1),CHAR(1),string,String,char(1),String
BENE_PTC_OUT_SRVC_AREA_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTC_PRIOR_DISENRLT_RSN_CD,char(2) character set latin not casespecific not null default '~ ',CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~ ',string,String,char(2),String
BENE_PTC_SBSDY_OVRRD_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_PTC_PRM_WTHLD_OPTN_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
CNTRCT_PBP_PTD_BNFT_TYPE_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_PTD_AA_OPT_OUT_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_RTRMT_RX_BNFT_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_PTD_PBP_RX_BIN_NUM,char(6) character set latin not casespecific not null default '~ ',CHAR(6) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~ ',string,String,char(6),String
BENE_PTD_PBP_RX_GRP_NUM,char(15) character set latin not casespecific not null,CHAR(15) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(15),String
BENE_PTD_PBP_RX_ID_NUM,char(20) character set latin not casespecific not null,CHAR(20) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(20),String
BENE_PTD_PBP_RX_PCN_NUM,char(10) character set latin not casespecific not null,CHAR(10) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(10),String
BENE_CANCER_TRTMT_IND,"char(1) character set latin not casespecific default 'n' compress ('n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT 'N' COMPRESS ('N','Y')",string,String,char(1),String
BENE_HIV_DGNS_IND,"char(1) character set latin not casespecific default 'n' compress ('n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT 'N' COMPRESS ('N','Y')",string,String,char(1),String
BENE_ESRD_CVRG_IND,"char(1) character set latin not casespecific default 'n' compress ('n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT 'N' COMPRESS ('N','Y')",string,String,char(1),String
BENE_ESRD_CVRG_SRC_CD,"char(1) character set latin not casespecific default 'n' compress ('n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT 'N' COMPRESS ('N','Y')",string,String,char(1),String
BENE_ESRD_TRMN_RSN_CD,"char(1) character set latin not casespecific default '~' compress ('a','b','c','d','e','~')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT '~' COMPRESS ('A','B','C','D','E','~')",string,String,char(1),String
BENE_HH_EPSD_IND,char(1),CHAR(1),string,String,char(1),String
BENE_HH_NPI_NUM,char(10) character set latin not casespecific,CHAR(10) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(10),String
BENE_HH_PRVDR_NUM,char(13) character set latin not casespecific,CHAR(13) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(13),String
BENE_PTNT_STUS_CD,char(2) character set latin not casespecific compress,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(2),String
HH_PRVDR_CNTRCTR_NUM,char(5) character set latin not casespecific,CHAR(5) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(5),String
BLLNG_PRD_FRST_DAY_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
BLLNG_PRD_LAST_DAY_DT,date format 'yyyy-mm-dd',CHAR(10),string,Date,date,String
BENE_HOSPC_IND,char(1),CHAR(1),string,String,char(1),String
BENE_HOSPC_NPI_NUM,char(10) character set latin not casespecific,CHAR(10) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(10),String
BENE_HOSPC_PRVDR_NUM,char(13) character set latin not casespecific,CHAR(13) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(13),String
BENE_HOSPC_RVCTN_CD,"char(1) character set latin not casespecific compress ('0','1')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('0','1')",string,String,char(1),String
BENE_SSI_STRT_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
BENE_SSI_END_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
BENE_SSI_IND_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_MDCR_ENTLMT_RSN_CD,char(4) character set latin not casespecific compress,CHAR(4) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(4),String
BENE_MDCR_STUS_CD,char(2) character set latin not casespecific compress,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(2),String
BENE_ESRD_STUS_ID,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_MDCD_STUS_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_DUAL_FPL_CD,"char(1) character set latin not casespecific default ' ' compress ('0','1','2','9')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT ' ' COMPRESS ('0','1','2','9')",string,String,char(1),String
BENE_DUAL_FPL_SRC_CD,"char(1) character set latin not casespecific compress ('1','2')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('1','2')",string,String,char(1),String
BENE_DUAL_INSTNL_STUS_IND_SW,"char(1) character set latin not casespecific default ' ' compress ('1','2','9','n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT ' ' COMPRESS ('1','2','9','N','Y')",string,String,char(1),String
BENE_DUAL_MDCD_ELGBL_STUS_SW,"char(1) character set latin not casespecific compress ('n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('N','Y')",string,String,char(1),String
BENE_DUAL_STUS_CD,char(2) character set latin not casespecific,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(2),String
BENE_DUAL_ELGBL_END_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
BENE_DUAL_ELGBL_STRT_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
GEO_MDCD_FIPS_STATE_CD,char(2) character set latin not casespecific not null,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(2),String
BENE_DUAL_ENRLMT_IND_CD,"char(1) character set latin not casespecific compress (' ','n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','N','Y')",string,String,char(1),String
BENE_DUAL_PTD_ELGBL_SW,"char(1) character set latin not casespecific compress (' ','n','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','N','Y')",string,String,char(1),String
BENE_DUAL_DRUG_CVRG_IND_CD,char(1) character set latin not casespecific default ' ',CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC DEFAULT ' ',string,String,char(1),String
BENE_PTD_ELGBL_STUS_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_PTD_ELGBLTY_RSN_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_PTD_ELGBLTY_TRMNTN_RSN_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_PTA_ENTLMT_STUS_CD,char(1) ,CHAR(1) ,string,String,char(1),String
BENE_PTA_ENTLMT_DB_BAL_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTA_ENTLMT_DB_PRM_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTA_ENTLMT_DB_QSTNBL_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTA_MDCR_ENRLMT_MTHD_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_PTA_MDCR_ENRLMT_RSN_CD,"char(1) character set latin not casespecific compress (' ','a','b','d','g','i','k','l','m','n','p','q','r','t','u')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','A','B','D','G','I','K','L','M','N','P','Q','R','T','U')",string,String,char(1),String
BENE_PTA_MDCR_NENTLMT_RSN_CD,"char(1) character set latin not casespecific compress ('d','f','h','n','r')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('D','F','H','N','R')",string,String,char(1),String
BENE_PTA_ENTLMT_DTL_STUS_CD,"char(1) character set latin not casespecific compress ('c','e','f','g','s','t','w','x','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('C','E','F','G','S','T','W','X','Y')",string,String,char(1),String
BENE_PTA_MDCR_IRMAA_BAL_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTA_MDCR_IRMAA_DUE_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTA_MDCR_IRMAA_QPDA_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTB_ENTLMT_STUS_CD,char(1) ,CHAR(1) ,string,String,char(1),String
BENE_PTB_ENTLMT_DB_BAL_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTB_ENTLMT_DB_PRM_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTB_ENTLMT_DB_QSTNBL_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTB_MDCR_ENRLMT_MTHD_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_PTB_MDCR_ENRLMT_RSN_CD,"char(1) character set latin not casespecific compress (' ','a','b','d','g','i','k','l','m','n','p','q','r','t','u')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','A','B','D','G','I','K','L','M','N','P','Q','R','T','U')",string,String,char(1),String
BENE_PTB_MDCR_NENTLMT_RSN_CD,"char(1) character set latin not casespecific compress ('d','f','h','n','r')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('D','F','H','N','R')",string,String,char(1),String
BENE_PTB_ENTLMT_DTL_STUS_CD,"char(1) character set latin not casespecific compress ('c','e','f','g','s','t','w','x','y')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('C','E','F','G','S','T','W','X','Y')",string,String,char(1),String
BENE_PTB_MDCR_IRMAA_BAL_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTB_MDCR_IRMAA_DUE_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_PTB_MDCR_IRMAA_QPDA_AMT,"decimal(7,2)",FLOAT,double,float,"decimal(7,2)",Float
BENE_DEEMD_STRT_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
BENE_DEEMD_END_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
BENE_DEEMD_IND_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_COPMT_STRT_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
BENE_COPMT_END_DT,date format 'yyyy-mm-dd' compress,CHAR(10),string,Date,date,String
BENE_DEEMD_COPMT_LVL_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_DEEMD_COPMT_RSN_CD,char(2) character set latin not casespecific compress,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(2),String
BENE_LIS_APL_RSLT_CD,"char(1) character set latin not casespecific compress (' ','1','2','9')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','1','2','9')",string,String,char(1),String
BENE_LIS_CHG_CD,"char(1) character set latin not casespecific compress (' ','1','2','9')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','1','2','9')",string,String,char(1),String
BENE_LIS_CNCL_CD,char(1) character set latin not casespecific compress ' ',CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ' ',string,String,char(1),String
BENE_LIS_COPMT_LVL_CD,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,string,String,char(1),String
BENE_LIS_FPL_PCT,char(3) character set latin not casespecific,CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(3),String
BENE_LIS_DEEMD_FULL_SBSDY_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_LIS_INCM_DTRMNTN_CD,"char(1) character set latin not casespecific compress ('1','2')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('1','2')",string,String,char(1),String
BENE_LIS_IND_CD,char(1),CHAR(1),string,String,char(1),String
BENE_LIS_RSRC_LVL_CD,"char(1) character set latin not casespecific compress (' ','1','2','9')","CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS (' ','1','2','9')",string,String,char(1),String
BENE_SBSDY_STRT_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_SBSDY_END_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_SSA_APLCTN_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_LIS_PTD_PRM_PCT,char(3) character set latin not casespecific,CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(3),String
BENE_PTD_SBSDY_APRVL_DT,date format 'yyyy-mm-dd' not null,CHAR(10),string,Date,date,String
BENE_LIS_APRVL_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,char(1),String
BENE_NENRLMT_PTAB_CD,char(1) character set latin not casespecific compress,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,string,String,char(1),String
BENE_DEEMED_LIS_IND,char(1),CHAR(1),string,String,char(1),String
CNTCT_LANG_CD_DESC,varchar(100) character set latin not casespecific,VARCHAR(100) CHARACTER SET LATIN NOT CASESPECIFIC,string,String,varchar(100),String
