Column Name,Data Type in Teradata Base Tables,Data Type in Teradata View,Data Type in Kafka Connect,Data Type in Materialize Server,Data Type in PostgreSQL Bridge DB,Data Type in Hasura GraphQL
PRVDR_PRSCRBNG_PRVDR_NPI_NUM  ,char(10),CHAR(10),string,String,char(10),String
CLM_LINE_NDC_CD,char(3),CHAR(11),string,String,char(3),String
NDC_BRAND_NAME,varchar(30),VARCHAR(30),string,String,varchar(30),String
NDC_CNT                       ,integer,INTEGER,int32,float,int8,Int
BENE_CNT                      ,integer,INTEGER,int32,float,int8,Int
CVRD_PD_AMT_SUM               ,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
PD_AMT_PER_NDC_CNT_AVG        ,"decimal(18,2)",FLOAT,double,float,"decimal(18,2)",Float
OPI_LOAD_TS                   ,timestamp(6),TIMESTAMP(6),"""type"": ""int64"", ""name"": ""org.apache.kafka.connect.data.Timestamp""",float,timestamp,String
