BENE_PTB_NENTLMT_RSN_CD,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,,,,
BENE_SSN_VRFY_SW,char(1) character set latin not casespecific,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC,,,,
CNTCT_LANG_CD,"char(3) character set latin not casespecific compress ('   ','s  ','x  ')","CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS ('   ','S  ','X  ')",,,,
BENE_MBI_ID,char(11) character set latin not casespecific,CHAR(11) CHARACTER SET LATIN NOT CASESPECIFIC,,,,
BENE_PTD_CVRG_TYPE_CD,char(2) character set latin not casespecific not null,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,,,,
BENE_PTD_CNTRCT_NUM,char(5) character set latin not casespecific not null default '~    ' compress '~    ',CHAR(5) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~    ' COMPRESS '~    ',,,,
BENE_PTD_PBP_NUM,char(3) character set latin not casespecific not null default '~  ' compress '~  ',CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL DEFAULT '~  ' COMPRESS '~  ',,,,
BENE_PTD_PBP_SGMT_NUM,char(3) character set latin not casespecific compress,CHAR(3) CHARACTER SET LATIN NOT CASESPECIFIC COMPRESS,,,,
BENE_PTD_ENRLMT_STRT_DT,date format 'yyyy-mm-dd' not null,CHAR(10),,,,
BENE_PTD_ENRLMT_END_DT,date format 'yyyy-mm-dd',CHAR(10),,,,
BENE_PTD_DISENRLMT_RSN_CD,char(2) character set latin not casespecific not null,CHAR(2) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,,,,
BENE_PTD_ELCTN_CCP_ENRLMT_MOS,smallint not null,SMALLINT NOT NULL,,,,
BENE_PTD_ENRLMT_APLCTN_DT,date format 'yyyy-mm-dd' not null,CHAR(10),,,,
BENE_PTD_ENRLMT_CNTRCT_EFTV_DT,date format 'yyyy-mm-dd' not null,CHAR(10),,,,
BENE_PTD_ENRLMT_GP_HLTH_PLN_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,,,,
BENE_PTD_ENRLMT_PGM_TYPE_CD,char(4) character set latin not casespecific not null,CHAR(4) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,,,,
BENE_PTD_ENRLMT_TYPE_CD,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,,,,
BENE_PTD_PMT_SW,char(1),CHAR(1),,,,
BENE_PTD_OUT_SRVC_AREA_SW,char(1) character set latin not casespecific not null,CHAR(1) CHARACTER SET LATIN NOT CASESPECIFIC NOT NULL,,,,
